gene_idx,gene_name,fold0 probability,fold1 probability,fold2 probability,fold3 probability,fold4 probability,fold5 probability,fold6 probability,fold7 probability,fold8 probability,fold9 probability,average probability,cancer gene
3814,GRB2,0.98032445,0.9345009,0.9132907,0.98309785,0.9934803,0.98134226,0.9776007,0.97747874,0.9771643,0.90305394,0.9621334,1
9137,LRRK2,0.9794322,0.92901844,0.89682424,0.97994244,0.9875124,0.9833399,0.9759554,0.9776608,0.9802172,0.9139828,0.96038854,1
557,PLCG2,0.9804095,0.9177834,0.9085288,0.98347485,0.9838157,0.98186535,0.9739318,0.9699589,0.96253806,0.92111397,0.95834196,1
107,NFKB1,0.97332585,0.92567384,0.9017047,0.9818923,0.99192035,0.9737965,0.9771245,0.9657389,0.96905464,0.90514904,0.9565381,1
625,TRAF1,0.9781998,0.9168185,0.8801175,0.9764638,0.9882393,0.9850905,0.97953737,0.96771765,0.9790123,0.9012531,0.9552449,1
9119,MAP3K3,0.9735277,0.9188662,0.8966616,0.97353214,0.9717397,0.97672004,0.97033507,0.96131957,0.9817152,0.90921664,0.9533633,1
515,PTK2B,0.97493714,0.923831,0.8828048,0.98185664,0.990428,0.9800934,0.9778411,0.97083783,0.97058445,0.864445,0.9517659,1
4816,NR4A1,0.9678591,0.9334983,0.8974029,0.9802904,0.9814563,0.9730636,0.9748487,0.9511328,0.96745425,0.8862753,0.95132816,1
9098,MAPK14,0.9527488,0.90876716,0.8862732,0.9743838,0.9819864,0.9701955,0.9742941,0.96207345,0.9592981,0.9059158,0.94759357,1
9239,UBE2D1,0.9689549,0.90058434,0.883135,0.97448766,0.98074716,0.9700192,0.9677423,0.96449506,0.9803555,0.8843237,0.9474846,1
8663,SP1,0.9535893,0.8779096,0.89298385,0.9750497,0.9764748,0.96311074,0.9642331,0.96714574,0.9662997,0.9210073,0.9457804,1
92,ARRB2,0.979424,0.9221086,0.8819889,0.9755849,0.97678876,0.9733786,0.9715944,0.9551146,0.9822796,0.8260143,0.94442767,1
76,ATXN1,0.95483917,0.9172025,0.8893991,0.97337127,0.97809476,0.96311617,0.97188795,0.9367574,0.95955473,0.8924261,0.943665,1
325,PRKCH,0.96765167,0.926254,0.8841349,0.9685355,0.9787046,0.9691812,0.97090507,0.9449492,0.9781992,0.8417065,0.9430221,1
4669,ATXN3,0.96853584,0.8981358,0.8542413,0.9733015,0.9770551,0.9742268,0.9704273,0.964138,0.97112715,0.87027675,0.9421466,1
7465,PRKCD,0.9562141,0.89765954,0.88333094,0.9728485,0.9852188,0.9581999,0.9699525,0.94214314,0.9658401,0.8868694,0.94182765,1
153,FYN,0.9680624,0.9152396,0.8885407,0.97027177,0.97547966,0.96984196,0.96907514,0.94640696,0.9563574,0.8550193,0.9414295,1
170,NR3C1,0.96002847,0.9067656,0.8709623,0.9744537,0.9837082,0.9537262,0.97209406,0.9389264,0.9681023,0.8558634,0.9384631,1
217,MAP3K8,0.9670794,0.8894825,0.8524043,0.9775065,0.98545134,0.9734311,0.97577786,0.95178795,0.9822333,0.81564826,0.9370802,1
60,RBL2,0.9753964,0.8889821,0.84737104,0.97835267,0.9922896,0.96967757,0.9655705,0.95944333,0.97637117,0.8099474,0.93634003,1
49,MAP4K1,0.9574829,0.90121466,0.8029359,0.9601444,0.9742221,0.97499585,0.9721133,0.9526231,0.97987217,0.8800767,0.93556803,1
10,SRSF7,0.97759664,0.81711996,0.876453,0.97437483,0.9447402,0.97047746,0.96113473,0.95904845,0.98188066,0.8922269,0.9355053,1
4143,LYN,0.96017796,0.9153584,0.8935289,0.97265965,0.9806803,0.9610908,0.97119987,0.9348458,0.9413457,0.8204753,0.9351363,1
124,PIK3CG,0.9639119,0.9262768,0.821271,0.97359914,0.98398525,0.9728616,0.97262514,0.94575155,0.96981156,0.8206863,0.935078,1
5373,PIAS1,0.96020544,0.8571187,0.853944,0.9765977,0.9568416,0.95783997,0.9606351,0.9533717,0.95915353,0.9061535,0.93418616,1
5345,FN1,0.96392983,0.90559626,0.8642615,0.9694764,0.9710133,0.9573726,0.9427971,0.95534563,0.9625507,0.84299874,0.93353426,1
1054,ADRB2,0.95252204,0.89977485,0.8526985,0.9709962,0.96814346,0.9629993,0.9597352,0.9093084,0.9470421,0.90486276,0.9328083,1
1926,IKBKG,0.93529445,0.83665407,0.8821059,0.97237563,0.9575458,0.9364167,0.9720695,0.95249194,0.9634779,0.90862495,0.93170565,1
952,TNFRSF1B,0.9499071,0.9111437,0.8829169,0.9661887,0.9759898,0.9634622,0.95260507,0.9064051,0.979225,0.8241822,0.9312026,1
322,PLCB2,0.96144843,0.86618066,0.80488825,0.96642625,0.9686327,0.9765593,0.9776462,0.9414051,0.98110837,0.8626872,0.9306983,1
288,PRKACB,0.9494269,0.92080164,0.87403405,0.9779855,0.9747035,0.9490709,0.945875,0.9095085,0.9339607,0.8535819,0.9288948,1
1302,RASSF5,0.9640304,0.9128236,0.8744095,0.9720766,0.98044914,0.9687685,0.958532,0.901726,0.97893685,0.76515305,0.9276906,1
4174,ARRB1,0.90723044,0.9054134,0.88298243,0.9679547,0.98538774,0.9279954,0.9715116,0.93141186,0.9275717,0.86913,0.92765886,1
7748,CARD9,0.9357511,0.92369246,0.8343657,0.9561159,0.97205895,0.94903195,0.93966496,0.9115384,0.9740127,0.87807584,0.92743075,1
2144,POU2F2,0.9689521,0.868739,0.8273875,0.95773953,0.97855365,0.9804216,0.9649172,0.94178426,0.9794812,0.7773761,0.92453516,1
5019,YWHAH,0.94300216,0.8649097,0.87365943,0.9735665,0.95545375,0.93772453,0.96467495,0.9278111,0.93937224,0.86124015,0.9241415,1
471,EPB41,0.9613122,0.82026106,0.8493114,0.96005565,0.9732703,0.9669533,0.9655994,0.9466599,0.9479087,0.842379,0.923371,1
441,NFATC1,0.9732396,0.83545756,0.7925965,0.9700013,0.98290193,0.9788309,0.9752882,0.97628117,0.97787523,0.7699404,0.9232413,1
3008,RBM39,0.9570859,0.8469566,0.85326093,0.97098315,0.9438935,0.94941014,0.95412326,0.9312104,0.93764067,0.88276345,0.92273283,1
8319,STX11,0.97381514,0.85247016,0.85108536,0.9596305,0.98139775,0.9755323,0.9583719,0.941266,0.9803017,0.7484617,0.9222333,1
2042,CD4,0.9608566,0.8723244,0.84953177,0.9550558,0.9643137,0.96538526,0.9271129,0.90644497,0.9793132,0.8375273,0.9217866,1
1098,FKBP5,0.9593007,0.85402745,0.8731093,0.9675163,0.97492605,0.9594976,0.9579701,0.9085337,0.97192377,0.78363734,0.9210442,1
1994,STAT1,0.9269047,0.8840128,0.859838,0.9650371,0.96885204,0.94056886,0.9673721,0.9163442,0.93322384,0.8453129,0.9207467,1
2873,RPL31,0.96446836,0.80240935,0.8617978,0.9720552,0.91974217,0.9541296,0.95040745,0.9283263,0.95227665,0.90049994,0.92061126,1
8672,CD40,0.9490111,0.87988234,0.84723014,0.94893605,0.9730306,0.95163184,0.9609719,0.9030937,0.9473506,0.8436525,0.9204791,1
427,SMAD7,0.956646,0.86181426,0.81586856,0.9679833,0.98347545,0.9735476,0.96628666,0.9300214,0.95769984,0.7901867,0.92035306,1
9123,SDCBP,0.95099694,0.87905747,0.8502931,0.9508208,0.9600684,0.9552317,0.9586379,0.92320156,0.94496846,0.819904,0.919318,1
51,INPP5D,0.9586676,0.85247934,0.85257846,0.9635608,0.96714985,0.95469356,0.95192224,0.91860396,0.97935337,0.78540915,0.9184418,1
7773,CSF2RB,0.9539894,0.9016011,0.7623418,0.9498399,0.9796061,0.9784591,0.9697402,0.9290883,0.9787717,0.7786645,0.91821015,1
2171,WWP2,0.900509,0.84596956,0.866836,0.97148895,0.9589861,0.9276747,0.9568156,0.9239658,0.92254025,0.9017974,0.91765845,1
139,DISC1,0.92548716,0.86235756,0.8537337,0.96870214,0.9659822,0.9368914,0.95274425,0.89933854,0.9776365,0.8292525,0.9172126,1
5058,RBPMS,0.92899525,0.8780016,0.8529198,0.96105635,0.9719082,0.94254637,0.96498466,0.89741516,0.92120755,0.84889776,0.9167932,1
355,ACTB,0.9544279,0.89655614,0.8911007,0.9730559,0.96009684,0.9217659,0.916992,0.8936943,0.920007,0.8362192,0.91639155,1
608,IL16,0.9494269,0.8979386,0.8452807,0.95452213,0.95716625,0.9570053,0.920165,0.87056434,0.97508085,0.83468163,0.9161832,1
1931,RPS8,0.9642078,0.80212736,0.86094236,0.97249776,0.8807299,0.95043516,0.9258294,0.9490218,0.9353333,0.9153942,0.9156519,1
791,GTF2B,0.9573007,0.81138724,0.7814222,0.95859724,0.97970575,0.9517279,0.9731472,0.9378497,0.9545789,0.84388936,0.91496056,1
1111,OGT,0.9526305,0.8044359,0.82997006,0.9688468,0.9815299,0.9402084,0.96558875,0.93520796,0.9375725,0.8328857,0.9148876,1
4913,MEF2C,0.95937794,0.899036,0.87590444,0.9672532,0.96974564,0.9480501,0.94001,0.89489347,0.9807733,0.71125096,0.9146296,1
8299,UBE2D3,0.9461656,0.892781,0.85612106,0.9596211,0.9693067,0.9361148,0.95019627,0.9001829,0.91698676,0.8136485,0.91411245,1
617,ABI3,0.946755,0.8891519,0.8359507,0.95556056,0.9716114,0.96893096,0.94455916,0.8528949,0.97666353,0.79697645,0.91390544,1
143,POLR2A,0.9098498,0.84395754,0.83872956,0.96411926,0.9692377,0.91995955,0.9497754,0.9173168,0.95809406,0.8479462,0.9118985,1
718,TRAF5,0.92833567,0.84949994,0.8197482,0.96790755,0.9757052,0.95528406,0.95684224,0.91885513,0.9674068,0.77594507,0.911553,1
6852,SNAI1,0.9363992,0.869089,0.77192533,0.9479642,0.9689679,0.94803566,0.9678431,0.9204679,0.94156384,0.8408961,0.91131514,1
279,CCR5,0.92465144,0.9128637,0.84284586,0.9502955,0.9616659,0.9581968,0.93754387,0.8409247,0.9523736,0.82240576,0.9103767,1
290,PTPN22,0.9537641,0.87723243,0.81155163,0.94771796,0.96112746,0.94667643,0.9619898,0.87962234,0.971301,0.78675866,0.9097741,1
362,UBASH3B,0.9428809,0.7660434,0.82230306,0.95950633,0.97326106,0.9377027,0.96656525,0.95280516,0.94349116,0.8299635,0.90945226,1
4736,STOM,0.9521822,0.83202654,0.8184538,0.96461993,0.9744085,0.9437188,0.96223116,0.9239088,0.9767521,0.7392208,0.90875226,1
346,DEF6,0.9415634,0.86141115,0.8138582,0.9592212,0.95761174,0.9474124,0.93459773,0.89915025,0.9788832,0.79261786,0.90863276,1
1942,RPS6,0.9669317,0.80190986,0.88032913,0.9664298,0.88738906,0.944423,0.9108966,0.91350514,0.9274746,0.8790526,0.9078342,1
365,NCF1,0.9501379,0.8964402,0.8290359,0.95425785,0.96804553,0.9666002,0.9603595,0.9055302,0.981247,0.66514903,0.90768033,1
99,CHD3,0.91880673,0.84011626,0.86310136,0.97202027,0.9680465,0.90695566,0.9534118,0.9057796,0.9374837,0.8098143,0.9075537,1
4888,BAG3,0.9116549,0.83832026,0.8431359,0.9579469,0.95666444,0.9234413,0.95280516,0.8818335,0.9413888,0.8665306,0.9073722,1
224,RELB,0.93570036,0.7749187,0.8200072,0.9598035,0.9763425,0.94263196,0.9551419,0.9410474,0.955354,0.81180215,0.907275,1
3056,IGHG1,0.93766606,0.8461654,0.85181236,0.9660086,0.9086159,0.95516723,0.92527723,0.90917987,0.97508925,0.7960677,0.9071051,1
4257,IQGAP1,0.9286944,0.8754719,0.85776657,0.9644688,0.97386914,0.9328905,0.94938344,0.91349834,0.9235032,0.7345249,0.9054071,1
220,NFKBIA,0.9471686,0.86726546,0.8699009,0.9664747,0.9631331,0.939766,0.9408868,0.8952746,0.92979276,0.73170114,0.9051364,1
372,PSTPIP1,0.9282847,0.87534344,0.82034457,0.94082963,0.9676866,0.9502795,0.9290613,0.8759879,0.95766485,0.80448717,0.90499705,1
3299,FCER1G,0.9578468,0.87819517,0.88454396,0.96294457,0.96252364,0.94383925,0.94661623,0.8531663,0.97967565,0.67866457,0.9048015,1
1913,EEF1A1,0.96206826,0.8533835,0.8856398,0.9696444,0.8802819,0.9352778,0.9160807,0.9060848,0.9399271,0.7946186,0.9043007,1
693,IKZF3,0.94445777,0.8575579,0.85173255,0.9413501,0.9459082,0.94448555,0.9385039,0.8741381,0.97010696,0.77261466,0.9040855,1
393,ANXA6,0.9473027,0.8367507,0.82541543,0.96527314,0.95103425,0.9489643,0.94475996,0.9245697,0.8952922,0.7991596,0.90385216,1
3290,DDX17,0.9581893,0.7930422,0.83775234,0.9766544,0.9029177,0.92741966,0.89697355,0.9251292,0.9320225,0.8869828,0.90370834,1
483,LYAR,0.9440848,0.7157566,0.8042646,0.9645702,0.91426337,0.932849,0.95660186,0.95011103,0.95027,0.9036231,0.90363944,1
1151,GIMAP5,0.93015766,0.86334276,0.8361881,0.9452697,0.9008604,0.9576315,0.92158496,0.8649461,0.9676684,0.8479163,0.90355664,1
2033,CCNDBP1,0.96896565,0.8452972,0.80285114,0.96194303,0.9832972,0.9700579,0.9507112,0.9396942,0.9781858,0.6290859,0.90300894,1
316,CDK9,0.8793139,0.79902494,0.84691083,0.9684008,0.9584273,0.9236896,0.9614936,0.89025354,0.9405622,0.8617838,0.90298593,1
381,SMARCA2,0.94093966,0.81486356,0.83466923,0.97201025,0.9552506,0.9378273,0.9631543,0.9047796,0.9508136,0.75335985,0.9027668,1
4905,ILK,0.9255335,0.8645258,0.8447194,0.95950687,0.96822125,0.9190404,0.9362925,0.8808037,0.9085606,0.8172669,0.90244704,1
1962,RPS18,0.951947,0.80057466,0.8250515,0.95888007,0.86251855,0.9386001,0.9544999,0.925474,0.9353255,0.8657287,0.90185994,1
1900,RPS3A,0.95995015,0.77062166,0.8578711,0.95885247,0.8758834,0.9359409,0.9043761,0.92667043,0.93133676,0.8856379,0.9007141,1
4693,CSNK2A2,0.90988386,0.77725494,0.83744967,0.95756125,0.9610864,0.92852443,0.96199304,0.91436064,0.9228959,0.8329617,0.9003973,1
1993,FHL3,0.8958074,0.82376426,0.8665154,0.9574198,0.9273753,0.9339139,0.94607544,0.8739941,0.93447196,0.84426093,0.9003599,1
2882,RPL27A,0.9667777,0.78853446,0.873209,0.97172415,0.7934337,0.9594246,0.9277646,0.9293031,0.92978424,0.8629727,0.90029275,1
127,PPP1CA,0.898219,0.8605257,0.83764297,0.9591227,0.9775819,0.90689486,0.95326054,0.88920027,0.9232799,0.79120064,0.89969283,1
839,CASP1,0.9487756,0.8888522,0.8703772,0.96775234,0.9685838,0.93242687,0.93745565,0.8816848,0.9777084,0.6228167,0.8996434,1
4721,KIFC3,0.90131295,0.79895407,0.86218673,0.96300286,0.96153486,0.9088779,0.8901977,0.93525606,0.9690495,0.80570346,0.89960754,1
7626,HCK,0.9672928,0.80804455,0.85730785,0.93276954,0.9687995,0.94454104,0.95276976,0.9082846,0.9766085,0.67377174,0.89901894,1
324,HLA-B,0.9780125,0.8889249,0.9021943,0.96765065,0.951675,0.9418538,0.8690108,0.86577433,0.9814973,0.6411787,0.8987773,1
222,RPS6KA1,0.9309817,0.85446477,0.8237109,0.94790345,0.9671031,0.9403462,0.9603169,0.8917377,0.96018463,0.7102258,0.89869756,1
136,GABARAPL1,0.9031524,0.89984334,0.8764425,0.9714675,0.9708108,0.9343068,0.95348245,0.88504034,0.9217011,0.66636217,0.8982609,1
1374,CREM,0.926815,0.845593,0.85231113,0.9524367,0.95603865,0.9416784,0.9293167,0.89935875,0.9797655,0.698665,0.8981978,1
287,ITGA4,0.9183736,0.8501779,0.8584223,0.96748525,0.96729314,0.9576672,0.96019775,0.8995001,0.97666067,0.62564105,0.89814186,1
10532,ADAMTSL4,0.90689546,0.7974026,0.8015743,0.9522599,0.9598181,0.93816143,0.9511602,0.9000056,0.9426366,0.82469815,0.89746124,1
223,RPL30,0.96345234,0.81495774,0.8424618,0.9532313,0.8938668,0.94557977,0.91992134,0.91046464,0.9255009,0.8047037,0.897414,1
275,IRF1,0.937256,0.7964064,0.83655393,0.9534983,0.9703133,0.92849654,0.9525986,0.89263994,0.945528,0.7599441,0.8973235,1
298,PRKCZ,0.8939908,0.7747113,0.8191368,0.95473576,0.9479918,0.9424921,0.9446523,0.8996336,0.93186575,0.8639797,0.89731896,1
234,TBP,0.8838683,0.80718607,0.8362228,0.95565426,0.96955585,0.9371651,0.9388561,0.915568,0.9142107,0.81418616,0.8972473,1
72,WNK1,0.9092159,0.84616745,0.8496728,0.95265204,0.9671223,0.89438,0.95463,0.87048715,0.9157991,0.8111715,0.89712983,1
742,PPP1R18,0.9479736,0.9075516,0.87070096,0.96015835,0.9645122,0.9259138,0.91988885,0.8939437,0.9221493,0.65560603,0.8968399,1
530,IKBKE,0.9292997,0.7918371,0.7412604,0.9358183,0.97715217,0.94307154,0.9454746,0.9252137,0.94208133,0.833262,0.89644706,1
1862,SART1,0.94576627,0.68636715,0.7822058,0.9529767,0.91806936,0.93787026,0.9530971,0.94418,0.95150983,0.89052933,0.8962572,1
507,NCK2,0.9040507,0.79674375,0.82793057,0.92460364,0.97210175,0.9306492,0.96948403,0.9047095,0.9102726,0.82180524,0.8962351,1
2894,RPS20,0.9625647,0.7718256,0.8416747,0.9655205,0.8391593,0.9347154,0.94088566,0.92416483,0.94023466,0.83530605,0.8956051,1
3213,CDC42,0.8865105,0.881307,0.86452556,0.95562977,0.9745748,0.8770775,0.93921876,0.87067264,0.925012,0.7796121,0.8954142,1
7462,PRKCE,0.88187236,0.82771057,0.8780876,0.9717677,0.94841444,0.91168153,0.9555354,0.82171893,0.9225058,0.83246934,0.8951763,1
1897,TTN,0.93879896,0.8066354,0.74018836,0.9543777,0.95177823,0.9343276,0.95944643,0.88893694,0.9635692,0.8132232,0.89512813,1
369,RPS12,0.9680139,0.7708192,0.85037,0.9658928,0.8030716,0.9522851,0.9306063,0.9149153,0.9179791,0.87624425,0.8950198,1
847,KLRC1,0.89561665,0.8477521,0.80725574,0.93723977,0.9435098,0.9448246,0.89315677,0.85889304,0.97148263,0.8502909,0.8950022,1
44,STAT5A,0.94056153,0.8623884,0.782686,0.95819366,0.9779432,0.96454376,0.97097653,0.9313565,0.94068825,0.61655384,0.8945891,1
1871,SRSF5,0.96309793,0.77001894,0.8629521,0.96955967,0.8966668,0.9312436,0.88291395,0.90260684,0.93184984,0.8149634,0.8925873,1
1934,RPL12,0.96281195,0.7235435,0.8345904,0.9673931,0.79901123,0.94454104,0.9442396,0.93788517,0.9270563,0.884797,0.892587,1
382,ATF7IP,0.8999458,0.8205109,0.8230212,0.9695434,0.97974616,0.90582156,0.949527,0.88231283,0.9537345,0.7275462,0.89117086,1
294,CSK,0.9437087,0.7972132,0.81932735,0.9575783,0.9706806,0.93573374,0.95140904,0.8816507,0.95807153,0.69193107,0.8907304,1
3217,ROCK1,0.9638657,0.8516016,0.81227237,0.969144,0.97530156,0.9427049,0.9664296,0.8887707,0.9224372,0.6108338,0.8903362,1
59,HDAC1,0.86617315,0.84214187,0.85330963,0.95193315,0.9483327,0.887343,0.9426906,0.89278114,0.9303336,0.7879358,0.8902974,1
3395,OSTF1,0.92350453,0.84926337,0.8457586,0.96106225,0.96657795,0.9051173,0.9243533,0.9109144,0.976779,0.6390676,0.89023983,1
323,PRKCQ,0.95056176,0.8102327,0.7927259,0.9331033,0.95204234,0.9741131,0.93136543,0.89688206,0.9742148,0.68142474,0.8896667,1
4642,STX7,0.9282018,0.80249316,0.84953064,0.96723425,0.958218,0.9137067,0.9643446,0.897803,0.9508951,0.66390204,0.889633,1
1745,GCH1,0.906796,0.84658754,0.7619034,0.9527044,0.9635731,0.9312398,0.9477955,0.84501904,0.95128965,0.78567284,0.8892581,1
2043,EEF1B2,0.939413,0.7949219,0.80024374,0.95609117,0.95794266,0.9265267,0.9322664,0.9041848,0.91607195,0.76454127,0.8892204,1
7542,FLT1,0.9554578,0.82647896,0.7907543,0.92095053,0.9630937,0.96675116,0.9140981,0.9042767,0.97544587,0.6704652,0.88877726,1
4537,MAPK3,0.8864038,0.78155047,0.86044914,0.9577064,0.9358636,0.90324414,0.9369436,0.8811054,0.90499455,0.8381094,0.88863695,1
1877,MCM5,0.895971,0.7606761,0.79702413,0.9546311,0.9155925,0.9190474,0.93418944,0.9331728,0.91099215,0.86359864,0.88848954,1
1911,RPL11,0.9509288,0.75862485,0.8387211,0.95720875,0.80240446,0.9269275,0.9325457,0.90681803,0.9274304,0.8768563,0.8878466,1
6850,CDK2,0.88501644,0.79614925,0.8292123,0.9362993,0.89737535,0.91294026,0.93597776,0.9125408,0.9444797,0.8279962,0.88779867,1
196,SH2D1A,0.89952785,0.82108563,0.7958249,0.93531924,0.9228356,0.9469761,0.9439349,0.8470111,0.97235256,0.787096,0.8871964,1
142,HGS,0.86043763,0.8308623,0.83689284,0.9320986,0.9617077,0.90034944,0.94107544,0.8702848,0.8998863,0.8361001,0.88696957,1
4182,TBK1,0.8831432,0.84742194,0.84944177,0.95523053,0.97019446,0.92200035,0.9370777,0.86339265,0.8630831,0.775174,0.88661593,1
7482,C1QA,0.9629986,0.7430595,0.81366175,0.95952,0.95082283,0.9539088,0.9313864,0.8668707,0.97812647,0.7035555,0.88639104,1
219,TRAF6,0.8497591,0.80520356,0.87187904,0.9707921,0.94152707,0.9027369,0.9234365,0.88298666,0.93292046,0.7820053,0.8863247,1
5015,SNRPD3,0.9312316,0.7152372,0.7555135,0.9464694,0.85515213,0.9363447,0.95505095,0.9294386,0.9568643,0.88078564,0.88620883,1
4158,SNCA,0.8504316,0.8741295,0.86284333,0.9491872,0.9502587,0.9214809,0.9247367,0.8614612,0.84012544,0.82254577,0.88571995,1
587,SYNE1,0.946983,0.671925,0.76837516,0.9651581,0.87853885,0.9380034,0.9044569,0.9346376,0.9620059,0.88602966,0.88561136,1
505,TXK,0.91109335,0.84216106,0.72869635,0.9076905,0.9623571,0.9440848,0.9598923,0.873677,0.97608405,0.7396053,0.88453406,1
5183,MBD2,0.9446519,0.6882924,0.75474954,0.9558834,0.9509495,0.9349507,0.9431516,0.9251008,0.96662194,0.7777728,0.8842125,1
5386,ETS2,0.95058644,0.7674217,0.795267,0.94649774,0.9803736,0.9347132,0.9650293,0.9149526,0.97310174,0.613165,0.8841108,1
1917,RPS13,0.9573667,0.7517118,0.83881485,0.95831025,0.8255883,0.93008,0.8935717,0.88743454,0.91687566,0.87987494,0.8839629,1
2867,RPL7,0.95376724,0.75018775,0.83768123,0.96795803,0.79246986,0.9315094,0.8825725,0.9109877,0.9364998,0.8737965,0.883743,1
5457,COL4A1,0.9468046,0.80692077,0.7900024,0.919034,0.9476536,0.94524044,0.95317084,0.91253775,0.97711915,0.6347765,0.88332593,1
3203,UBB,0.93537545,0.84280485,0.8887333,0.9702129,0.93781376,0.8861605,0.9268662,0.88034135,0.8526831,0.7062458,0.8827237,1
1940,PPP1CC,0.8687947,0.8289496,0.82293844,0.9545484,0.974801,0.8870312,0.9047962,0.8739903,0.93939936,0.7710079,0.8826257,1
4938,NEDD4,0.8887886,0.7536756,0.80947703,0.953495,0.9758809,0.9393416,0.9441153,0.9307814,0.9555551,0.6746339,0.88257444,1
4766,HSPA1A,0.920955,0.7935415,0.8349459,0.95752704,0.9549954,0.8630943,0.9357158,0.8787188,0.9412952,0.73812336,0.88189113,1
1932,RPL10A,0.9380368,0.7507427,0.8423967,0.9636416,0.83382815,0.9068915,0.9262977,0.883816,0.93077046,0.84036314,0.8816784,1
3311,TGFBR1,0.86166006,0.7399456,0.8321924,0.94614655,0.96215016,0.8995244,0.9512523,0.90151083,0.9096208,0.8082794,0.88122827,1
6047,NID1,0.94613683,0.77103686,0.7642401,0.9317972,0.9726848,0.9521427,0.95455235,0.9384526,0.9764954,0.60430723,0.8811846,1
2,GSK3B,0.8505839,0.82157564,0.8308879,0.94528526,0.95854986,0.8854341,0.9407783,0.87236124,0.90663993,0.7946575,0.88067544,1
